Name,Company,Price,Star_Rating,Number_of_Ratings,Number_of_Reviews,Processor,RAM,Operating_System,Storage,Warranty
DELL Inspiron 5440 Intel Core i3 (14th Gen) Intel Core 3 100U - (16 GB/512 GB SSD/Windows 11 Home) 544...,DELL,36990.0,4.2,281.5,24.0,Intel Core i3 Processor,16 GB DDR5 RAM,Windows 11 Home Microsoft Office 2021,512.0,1.0
MSI Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-1402IN Business ...,MSI,31500.0,4.2,84.0,10.0,Intel Core i3 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512.0,1.0
"Acer Swift Neo with Backlit Keyboard, Intel Core Ultra 7 155U - (16 GB/1 TB SSD/Windows 11 Home) SFN14...",Acer,73990.0,4.0,165.0,16.0,Intel Core Ultra 7 Processor,16 GB LPDDR5 RAM,64 bit Windows 11 Home,1.0,1.0
HP 15 (2025) AMD Ryzen 3 Quad Core 7320U - (16 GB/512 GB SSD/Windows 11 Home) 15 Thin and Light Laptop,HP,34291.0,3.9,95.0,5.0,AMD Ryzen 3 Quad Core Processor,16 GB LPDDR5 RAM,"Microsoft Office 2021, Windows 11 Home",512.0,1.0
Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (8 GB/512 GB SSD/Windows 11 Home) A325-42 Thin and Light ...,Acer,35290.0,4.1,2920.0,306.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows 11,512.0,1.0
MOTOROLA Motobook 60 Pro Full Metal OLED AI PC Intel Core Ultra 7 255 H - (32 GB/1 TB SSD/Windows 11 H...,MOTOROLA,82990.0,4.7,49.0,5.0,Intel Core Ultra 7 Processor,32 GB DDR5 RAM,64 bit Windows 11,1.0,1.0
HP Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0046TU Thin and Light Lapto...,HP,65990.0,4.3,605.0,35.0,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Home,512.0,1.0
Acer Swift Neo OLED AI PC Intel Core Ultra 5 115U - (16 GB/512 GB SSD/Windows 11 Home) SFN14-54H Thin ...,Acer,54990.0,4.1,1610.0,146.0,Intel Core Ultra 5 Processor,16 GB LPDDR5 RAM,64 bit Windows 11 Home,512.0,1.0
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",ASUS,50990.0,4.3,1033.0,78.0,Intel Core 5 Processor,16 GB DDR4 RAM,Windows 11 Home,512.0,1.0
Acer Aspire Lite Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home) AL15-52H Thin and Li...,Acer,45990.0,4.1,2055.0,178.0,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,64 bit Windows 11 Home,1.0,1.0
ASUS (2024) AMD APU Dual Core E1 E1-6010 - (4 GB/500 GB HDD/Windows 11 Home) X540YA-XO547T Laptop,ASUS,21550.0,3.7,8066.0,1295.0,AMD APU Dual Core E1 Processor,4 GB DDR3 RAM,64 bit Windows 11 Home,500.0,1.0
DELL Inspiron 5440 (2025) Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 54...,DELL,34490.0,4.0,92.0,8.0,Intel Core i3 Processor (13th Gen),8 GB DDR5 RAM,"Microsoft Office 2021, Windows 11 Home",512.0,1.0
HP G9 Intel Core i3 13th Gen 1315U Turbo Boost with Finger Print - (16 GB/512 GB SSD/Windows 11 Pro) 2...,HP,36990.0,4.0,381.0,34.0,Intel Core i3 Processor (13th Gen),16 GB DDR4 RAM,64 bit Windows 11,512.0,1.0
MOTOROLA Motobook 60 Pro Full Metal OLED AI PC Intel Core Ultra 5 225H - (16 GB/1 TB SSD/Windows 11 Ho...,MOTOROLA,64990.0,4.3,42.0,10.0,Intel Core Ultra 5 Processor,16 GB DDR5 RAM,64 bit Windows 11,1.0,1.0
Acer Aspire 3 (2025) Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) Aspire 3 A325-5...,Acer,48990.0,4.2,90.0,6.0,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,"Microsoft Office 2021, Windows 11 Home",512.0,3.0
"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i5 13th Gen 1342...",ASUS,56990.0,4.4,708.0,49.0,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Home,512.0,1.0
Acer Aspire Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) AL15-53 Notebook,Acer,33938.0,3.9,64.0,7.0,Intel Core i3 Processor (13th Gen),8 GB DDR4 RAM,64 bit Windows 11 Home,512.0,1.0
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/1 TB SSD/Windows 11 Home) A325-42 Thin and ...,Acer,42990.0,4.1,1468.0,109.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,Windows 11,1.0,1.0
Apple MacBook Air M4 - (16 GB/256 GB SSD/macOS Sequoia) MW123HN/A,Apple,94990.0,4.7,1899.0,135.0,Apple M4 Processor,16 GB Unified Memory RAM,Mac OS,256.0,1.0
HP AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0388AU Thin and Light Laptop,HP,36990.0,4.2,16.0,4.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows 11 Home,512.0,1.0
Acer Aspire Lite AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,Acer,44590.0,4.1,449.0,38.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11,512.0,1.0
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Ho...",ASUS,42990.0,4.2,8714.0,484.0,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11,512.0,1.0
Acer Nitro V 15 Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX...,Acer,69990.0,4.5,454.0,52.0,Intel Core 5 Processor,16 GB DDR5 RAM,64 bit Windows 11 Home,512.0,1.0
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 15IAH8 Thin a...,Lenovo,49950.0,4.0,47.0,4.0,Intel Core i5 Processor (12th Gen),16 GB LPDDR5 RAM,Windows 11,512.0,1.0
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i5 13th Gen 1335U...",ASUS,47990.0,4.3,980.0,51.0,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,Windows 11,512.0,1.0
Lenovo LOQ Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,Lenovo,86290.0,4.4,424.0,27.0,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,Windows 11,512.0,1.0
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,HP,57799.0,4.3,8122.0,371.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512.0,1.0
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...",ASUS,45990.0,4.2,1296.0,88.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,Windows 11,512.0,1.0
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,Acer,41990.0,4.2,3177.0,213.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11,512.0,1.0
Lenovo V15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) V15 Thin and Light Laptop,Lenovo,37990.0,4.1,1724.0,154.0,AMD Ryzen 5 Quad Core Processor,16 GB DDR4 RAM,Windows 11,512.0,1.0
